,Geography,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units
0,Albany,1/6/2020,Conventional,1.155100335,167892.25,3737,140642.19,184.16,10996.65
1,Albany,1/12/2020,Conventional,1.22760888,122546.59,3649.24,90717.11,203.78,16359.88
2,Albany,1/19/2020,Conventional,1.088107221,146447.04,5057.86,108635.2,306.59,15879.12
3,Albany,1/26/2020,Conventional,1.160866356,114164.66,4124.56,72571.73,270.72,21273.86
4,Albany,2/2/2020,Conventional,1.251056884,193702.97,4933.07,156256.79,215.29,17313.74
5,Albany,2/9/2020,Conventional,1.182923141,121549.99,4385.86,83521.42,112.53,15897.54
6,Albany,2/16/2020,Conventional,1.219410872,107324.79,4501.3,69443.44,116.05,14938.31
7,Albany,2/23/2020,Conventional,1.343168053,129595.77,4297.94,94323.17,118.28,15227.58
8,Albany,3/1/2020,Conventional,1.292302301,109645.68,10324.34,69489.98,77.75,16112.18
9,Albany,3/8/2020,Conventional,1.265653188,147574.18,7035.64,99396.14,107.65,22099.25
10,Albany,3/15/2020,Conventional,1.275168717,147547.06,12355.25,87227.77,112.61,24600.09
11,Albany,3/22/2020,Conventional,1.345303891,173604.91,12378.23,113326.8,192.78,27089.14
12,Albany,3/29/2020,Conventional,1.143093153,149613.99,21796.91,94668.78,196.87,18231.5
13,Albany,4/5/2020,Conventional,1.259301549,134644.25,16374.94,78938.31,202.58,22103.68
14,Albany,4/12/2020,Conventional,1.443246076,137349.43,17859.96,85132.72,200.09,23083.57
15,Albany,4/19/2020,Conventional,1.454467131,129452.13,10285.29,82570.03,182.97,19056.38
16,Albany,4/26/2020,Conventional,1.523867411,172380.85,9975.95,122140.4,126.71,20876.51
17,Albany,5/3/2020,Conventional,1.469798646,159608.71,9516.93,104621.13,265.62,21644.16
18,Albany,5/10/2020,Conventional,1.32060167,198411.89,11783.77,139712.07,232.47,23057.54
19,Albany,5/17/2020,Conventional,1.522925008,167714.27,9215.86,112819.39,192.78,21634
20,Albany,5/24/2020,Conventional,1.46520653,169487.79,9724.78,109421.12,279.03,24257.65
21,Albany,5/31/2020,Conventional,1.532191213,194454.79,10931.81,140762.3,309.24,21831.46
22,Albany,6/7/2020,Conventional,1.435383002,154653.48,9409.95,101987.48,192.78,24912.7
23,Albany,6/14/2020,Conventional,1.367060182,209868.88,10239.42,154286.78,494.8,23645.07
24,Albany,6/21/2020,Conventional,1.490540424,147673.77,10158.75,101629.3,302.25,21430.67
25,Albany,6/28/2020,Conventional,1.54168596,154011.55,10397.48,114190.76,254.14,20071.58
26,Albany,7/5/2020,Conventional,1.433643703,149120.13,10223.7,107173.61,341.22,26043.54
27,Albany,7/12/2020,Conventional,1.522719361,144894.64,6708.1,105628.68,338.27,26141.05
28,Albany,7/19/2020,Conventional,1.338973144,139106.04,8983.93,92284.57,419.66,30722.78
29,Albany,7/26/2020,Conventional,1.394884918,167233.01,8398.77,111173.06,199.13,39174.95
30,Albany,8/2/2020,Conventional,1.183396016,151161.48,7694.9,94214.9,189.29,45028.92
31,Albany,8/9/2020,Conventional,1.001741708,153380.05,10942.78,104697.48,320.75,34059.2
32,Albany,8/16/2020,Conventional,1.358984041,164375.03,8317,115801.25,363.85,30213
33,Albany,8/23/2020,Conventional,1.128180621,123576.38,10552.5,81664.36,354.54,22242.3
34,Albany,8/30/2020,Conventional,1.042628866,140125,8923.81,102863.79,247.83,18731.63
35,Albany,9/6/2020,Conventional,1.353883982,128955.53,8094.03,89700.13,112.45,21593.79
36,Albany,9/13/2020,Conventional,1.056936568,116376.66,6390.65,78652.51,119.07,24800.19
37,Albany,9/20/2020,Conventional,1.061934979,129410.35,6925.76,89135.45,103.3,20077.22
38,Albany,9/27/2020,Conventional,1.385493165,127871.24,6016.44,94747.85,114.51,20199.27
39,Albany,10/4/2020,Conventional,1.265458877,110914.4,6545.28,74937.27,98.67,21171.36
40,Albany,10/11/2020,Conventional,1.32017606,120291.86,5790.31,85707.36,41.58,19358.43
41,Albany,10/18/2020,Conventional,1.087752878,111646.54,5720.02,77890.21,9.1,16583.35
42,Albany,10/25/2020,Conventional,1.219199776,131359.9,5813.68,100094.51,19.94,15171.19
43,Albany,11/1/2020,Conventional,1.407304835,124239.45,6178.33,90732.19,1.89,15334.44
44,Albany,11/8/2020,Conventional,1.240652579,107094.51,4101.62,80446.5,25.04,16431.69
45,Albany,11/15/2020,Conventional,1.389898332,133862.57,6319.43,98781.79,42.67,17761.49
